usia;kelompok
20        ;Pemuda              
49        ;Dewasa              
49        ;Dewasa              
74        ;Tua                 
72        ;Tua                 
62        ;Tua                 
79        ;Tua                 
15        ;Remaja              
56        ;Tua                 
9         ;Kanak-kanak         
54        ;Dewasa              
19        ;Pemuda              
25        ;Dewasa              
59        ;Tua                 
77        ;Tua                 
58        ;Tua                 
32        ;Dewasa              
21        ;Pemuda              
36        ;Dewasa              
27        ;Dewasa              
48        ;Dewasa              
52        ;Dewasa              
66        ;Tua                 
72        ;Tua                 
5         ;Balita              
63        ;Tua                 
21        ;Pemuda              
5         ;Balita              
35        ;Dewasa              
48        ;Dewasa              
76        ;Tua                 
76        ;Tua                 
65        ;Tua                 
31        ;Dewasa              
71        ;Tua                 
42        ;Dewasa              
62        ;Tua                 
5         ;Balita              
22        ;Pemuda              
79        ;Tua                 
71        ;Tua                 
11        ;Kanak-kanak         
25        ;Dewasa              
26        ;Dewasa              
5         ;Balita              
36        ;Dewasa              
1         ;Balita              
42        ;Dewasa              
29        ;Dewasa              
61        ;Tua                 
34        ;Dewasa              
64        ;Tua                 
58        ;Tua                 
32        ;Dewasa              
12        ;Remaja              
62        ;Tua                 
66        ;Tua                 
59        ;Tua                 
59        ;Tua                 
49        ;Dewasa              
58        ;Tua                 
72        ;Tua                 
57        ;Tua                 
2         ;Balita              
2         ;Balita              
20        ;Pemuda              
29        ;Dewasa              
34        ;Dewasa              
58        ;Tua                 
34        ;Dewasa              
17        ;Pemuda              
4         ;Balita              
7         ;Kanak-kanak         
29        ;Dewasa              
50        ;Dewasa              
46        ;Dewasa              
24        ;Dewasa              
43        ;Dewasa              
78        ;Tua                 
42        ;Dewasa              
77        ;Tua                 
79        ;Tua                 
21        ;Pemuda              
67        ;Tua                 
5         ;Balita              
59        ;Tua                 
15        ;Remaja              
64        ;Tua                 
2         ;Balita              
45        ;Dewasa              
8         ;Kanak-kanak         
60        ;Tua                 
60        ;Tua                 
33        ;Dewasa              
54        ;Dewasa              
36        ;Dewasa              
76        ;Tua                 
38        ;Dewasa              
28        ;Dewasa              
8         ;Kanak-kanak         
